dataset,metric,baseline_mean,baseline_std,proposed_mean,proposed_std,p_value,significant
CM1,precision,0.212887287403373,0.04479978754307004,0.15656565656565655,0.11319358179912072,0.232421875,False
CM1,recall,0.675,0.23796008068581587,0.28500000000000003,0.20254629100529092,0.00390625,True
CM1,f1,0.3192565996095408,0.07424277210267886,0.19977522477522477,0.14299494987957506,0.064453125,False
CM1,auc_roc,0.7781717171717172,0.07234352249098344,0.6716969696969697,0.0992779338636203,0.02734375,True
CM1,accuracy,0.7250612244897959,0.05371906188057871,0.7871428571428571,0.037628690747180366,,False
PC1,precision,0.2211912512438828,0.04983588344030827,0.3329239766081871,0.1237879286379677,0.048828125,True
PC1,recall,0.6553571428571427,0.1621070602398052,0.5125,0.16922881804569476,0.03125,True
PC1,f1,0.32410169281137025,0.06360914635446108,0.38767520748944895,0.10882816043717429,0.232421875,False
PC1,auc_roc,0.8172023364984531,0.06310072562282174,0.8511202389843167,0.07787042663946522,0.16015625,False
PC1,accuracy,0.8079524979524979,0.05042891317838335,0.8864291564291564,0.0334294836004945,,False
PC2,precision,0.04777777777777778,0.07569431702333822,0.16499999999999998,0.295,0.3125,False
PC2,recall,0.25,0.4031128874149275,0.25,0.33541019662496846,1.0,False
PC2,f1,0.07833333333333332,0.12338962679253065,0.16190476190476188,0.22049213148171856,0.375,False
PC2,auc_roc,0.734256088280061,0.27144942730085553,0.8371289954337898,0.12285672518260188,0.193359375,False
PC2,accuracy,0.9155675675675674,0.03142263822475468,0.9315495495495497,0.027650872190494422,,False
