dataset,metric,n_observations,baseline_mean,baseline_std,proposed_mean,proposed_std,p_value,significant
CM1,precision,100,0.22125329232848523,0.07397723284644615,0.2143328338328338,0.13414945574062706,0.5955954236141574,False
CM1,recall,100,0.6789999999999999,0.21670025380695798,0.3710000000000001,0.22651490017215203,1.3172561031902431e-12,True
CM1,f1,100,0.32997659175625926,0.10181347782814357,0.26464226940929725,0.15530557695752062,0.0008402687873686224,True
CM1,auc_roc,100,0.7713808080808081,0.09157598381203294,0.7309171717171716,0.09455312461333838,0.0015098453197405113,True
CM1,mcc,100,0.2694104772379109,0.13982504405338933,0.17539764488137483,0.18256492632785354,0.0001598204418050732,True
CM1,accuracy,100,0.7281020408163265,0.06581645942084353,0.8044489795918366,0.05073656554907041,6.741039581026274e-13,True
PC1,precision,100,0.2220259336395565,0.0648339978245975,0.32818038441606556,0.10310640366822969,2.2918843429815413e-14,True
PC1,recall,100,0.6551785714285713,0.1694772688087023,0.5180357142857143,0.16822708095103514,1.1931818944832692e-09,True
PC1,f1,100,0.3270974716951062,0.08466977534843012,0.39420443344464073,0.11225171456950159,1.5698878771685775e-07,True
PC1,auc_roc,100,0.8153527419182758,0.07428462097279735,0.8565136562466661,0.06690091160787323,5.2929629823637946e-08,True
PC1,mcc,100,0.30066854075503396,0.106211841089914,0.3533348475892821,0.1262138273930322,0.00017121594938104075,True
PC1,accuracy,100,0.8091834561834562,0.04754148671290738,0.8904529074529074,0.025334114763822146,5.92524744374519e-18,True
PC2,precision,100,0.08172269397269397,0.12891854493546206,0.08651190476190475,0.19291886541701114,0.4268710171373421,False
PC2,recall,100,0.28,0.3893584466786357,0.185,0.3290516676754579,0.023682078595733354,True
PC2,f1,100,0.11760591042943982,0.17149131758296624,0.10196103896103896,0.18238732766088808,0.43061986544878894,False
PC2,auc_roc,100,0.7519263698630136,0.2227215991324221,0.7669368340943684,0.18465915403429772,0.5296087529279218,False
PC2,mcc,100,0.11005429226980686,0.20834562536420437,0.08731559174590667,0.21297490464088673,0.6667164723000963,False
PC2,accuracy,100,0.9110270270270269,0.03956782191946342,0.9314144144144144,0.025529062994589246,1.8581281393992381e-06,True
